ORI,year,department_id,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,latitude,longitude
PAPPD00,1975,50,479083.0,63.0,237.0,2744.0,1923.0,4967.0,12.0,1036.7723338127198,13.1501222126437,49.4695073713741,572.76087859515,401.391825633554,40.440624,-79.995888
OR02602,1975,51,373126.0,48.0,287.0,1843.0,1898.0,4076.0,12.0,1092.39238219797,12.864287130888801,76.91771680343899,493.93502462975,508.675353633893,45.512794,-122.679565
MD01721,1975,52,569452.0,46.0,261.0,2147.0,1693.0,4147.0,12.0,728.2439959821021,8.07794159999438,45.833538208663796,377.029143808433,297.303372365011,38.83,-76.85
NC09201,1975,53,149940.0,17.0,20.0,221.0,463.0,721.0,12.0,480.859010270775,11.3378684807256,13.338668800853698,147.392290249433,308.790182739763,35.787743,-78.644257
CA03404,1975,54,262994.0,42.0,155.0,1128.0,1087.0,2412.0,12.0,917.131189304699,15.9699460824201,58.93670578035999,428.907123356426,413.31741408549203,38.575764,-121.478851
UT01803,1975,55,180000.0,11.0,99.0,582.0,378.0,1070.0,12.0,594.444444444444,6.111111111111111,55.0,323.33333333333303,210.0,40.758701,-111.876183
TXSPD00,1975,56,768814.0,131.0,275.0,1730.0,2086.0,4222.0,12.0,549.1575335516781,17.039231855819498,35.76937985000271,225.02191687456298,271.327004971293,29.424349,-98.491142
CA03711,1975,57,768713.0,64.0,229.0,2199.0,1367.0,3859.0,12.0,502.00790151851197,8.32560396402819,29.7900516837884,286.062548701531,177.829697169165,32.715736,-117.161087
CA03801,1975,58,669977.0,138.0,547.0,5687.0,2765.0,9137.0,12.0,1363.77815954876,20.5977220113526,81.64459376963691,848.8351092649451,412.700734502826,37.773972,-122.431297
CA04313,1975,59,549367.0,40.0,234.0,887.0,955.0,2116.0,12.0,385.17056903672795,7.28110716515553,42.5944769161599,161.458551387324,173.83643356808798,37.33548,-121.893028
WASPD00,1975,60,503500.0,52.0,324.0,2103.0,1492.0,3971.0,12.0,788.679245283019,10.327706057596801,64.3495531281033,417.676266137041,296.32571996027804,47.608013,-122.335167
MOSPD00,1975,61,569000.0,240.0,462.0,6288.0,3573.0,10563.0,12.0,1856.41476274165,42.1792618629174,81.195079086116,1105.09666080844,627.943760984183,38.627003,-90.199402
NY05101,1975,62,1217700.0,13.0,90.0,531.0,330.0,964.0,9.0,79.16564014124991,1.06758643344009,7.3909830007391,43.606799704360704,27.10027100271,40.94,-72.68
FL02902,1975,63,291103.0,67.0,162.0,1394.0,1545.0,3168.0,12.0,1088.27459696396,23.0159084585181,55.6504055265662,478.86830434588404,530.739978632992,27.964157,-82.452606
AZ01003,1975,64,340500.0,23.0,137.0,707.0,943.0,1810.0,12.0,531.571218795888,6.75477239353891,40.2349486049927,207.63582966226102,276.945668135095,32.25346,-110.911789
OK07205,1975,65,347600.0,39.0,136.0,581.0,1012.0,1768.0,12.0,508.63060989643304,11.219792865362502,39.125431530494794,167.14614499424601,291.139240506329,36.15398,-95.992775
VA12800,1975,66,217192.0,22.0,38.0,194.0,198.0,452.0,12.0,208.110795977752,10.1292865298906,17.496040369811002,89.3218903090353,91.1635787690154,36.86314,-76.015778
DCMPD00,1975,67,716000.0,235.0,520.0,9137.0,2812.0,12704.0,12.0,1774.3016759776501,32.8212290502793,72.62569832402241,1276.11731843575,392.73743016759806,38.889248,-77.050636
KS08703,1975,68,259240.0,36.0,53.0,640.0,408.0,1137.0,12.0,438.589723808054,13.886745872550499,20.444375867921604,246.875482178676,157.383119888906,37.697948,-97.314835
NM00101,1976,1,292265.0,28.0,186.0,871.0,1335.0,2420.0,12.0,828.015670709801,9.5803466032539,63.6408738644723,298.017210408362,456.777239833713,35.106766,-106.629181
TX22001,1976,2,107470.0,5.0,30.0,99.0,140.0,274.0,12.0,254.954871126826,4.65246115194938,27.9147669116963,92.1187308085977,130.268912254583,32.705002,-97.12278
GAAPD00,1976,3,457300.0,154.0,477.0,3380.0,3518.0,7529.0,12.0,1646.4027990378302,33.675923901159,104.30789416138201,739.120927181281,769.2980537940081,33.753746,-84.38633
CO00101,1976,4,132000.0,2.0,40.0,166.0,338.0,546.0,12.0,413.63636363636397,1.51515151515152,30.3030303030303,125.757575757576,256.060606060606,39.710835,-104.8125
TX22701,1976,5,284908.0,24.0,181.0,518.0,479.0,1202.0,12.0,421.89057520322405,8.42377188425738,63.529279627107705,181.81307650188802,168.12444718997,30.266666,-97.73333
MDBPD00,1976,6,860974.0,200.0,460.0,7755.0,5776.0,14191.0,12.0,1648.2495406365301,23.22950518831,53.427861933113,900.72406367672,670.868109838392,39.299236,-76.609383
MD00301,1976,7,642369.0,19.0,142.0,688.0,949.0,1798.0,12.0,279.901427372741,2.9578015128376403,22.105674464365503,107.103549517489,147.734401878048,39.299236,-76.609383
MA01301,1976,8,619437.0,81.0,392.0,6125.0,3290.0,9888.0,12.0,1596.28824238785,13.0763903350946,63.2832717451492,988.801121017957,531.127459289645,42.361145,-71.057083
NY01401,1976,9,425101.0,54.0,202.0,1937.0,898.0,3091.0,12.0,727.121319404095,12.7028635547787,47.518119223431604,455.65642047419294,211.24391615169102,42.88023,-78.878738
NC06001,1976,10,274020.0,52.0,84.0,731.0,1028.0,1895.0,12.0,691.55536092256,18.976717027954198,30.6546967374644,266.768848989125,375.155098168017,35.227085,-80.843124
ILCPD00,1976,11,3134499.0,814.0,1179.0,17577.0,11070.0,30640.0,12.0,977.508686396135,25.969062360524003,37.6136664902429,560.759470652248,353.16648689312103,41.881832,-87.623177
OHCIP00,1976,12,427045.0,56.0,263.0,1525.0,1617.0,3461.0,12.0,810.453230924142,13.1133721270592,61.5860155252959,357.105223102952,378.648620168835,39.103119,-84.512016
OHCLP00,1976,13,642298.0,236.0,498.0,5453.0,2309.0,8496.0,12.0,1322.75049898957,36.7430694163768,77.5341041074392,848.9828708792489,359.4904545865,41.505493,-81.68129
OHCOP00,1976,14,595500.0,53.0,328.0,1921.0,985.0,3287.0,12.0,551.973131821998,8.900083963056261,55.079764903442495,322.586062132662,165.407220822838,39.983334,-82.98333
TXDPD00,1976,15,888450.0,230.0,591.0,3113.0,3310.0,7244.0,12.0,815.352580336541,25.887782092408106,66.5203444200574,350.38550284202796,372.55895098204695,32.89748,-97.040443
CODPD00,1976,16,523676.0,86.0,383.0,2042.0,1596.0,4107.0,12.0,784.263552272779,16.422368029086698,73.13682505976979,389.935761806919,304.768597377004,39.742043,-104.991531
MI82349,1976,17,1334100.0,663.0,1230.0,21213.0,6593.0,29699.0,12.0,2226.14496664418,49.69642455588039,92.1969867326287,1590.06071508882,494.190840266847,42.331429,-83.045753
TX07102,1976,18,361413.0,25.0,118.0,792.0,638.0,1573.0,12.0,435.236142584799,6.91729406523838,32.6496279879252,219.139875986752,176.529344544884,31.772543,-106.460953
VA02901,1976,19,524272.0,17.0,84.0,337.0,270.0,708.0,12.0,135.044404431288,3.2425916318247,16.0222174748985,64.2796105838191,51.4999847407453,38.854004,-77.356918
